Rank,Club / Country,Club,Country,ELO
2170,Rad BeogradSerbia,Rad Beograd,Serbia,1252
2171,Zagłębie SosnowiecPoland,Zagłębie Sosnowiec,Poland,1252
2172,Gigira LaitepoPapua New Guinea,Gigira Laitepo,Papua New Guinea,1252
2173,Kerala Blasters FCIndia,Kerala Blasters FC,India,1252
2174,TsholotshoZimbabwe,Tsholotsho,Zimbabwe,1252
2175,Al-Tai FCSaudi Arabia,Al-Tai FC,Saudi Arabia,1252
2176,Zimbabwe SaintsZimbabwe,Zimbabwe Saints,Zimbabwe,1252
2177,Rangdajied UnitedIndia,Rangdajied United,India,1252
2178,Hapoel Kfar SabaIsrael,Hapoel Kfar Saba,Israel,1252
2179,PA SambizangaAngola,PA Sambizanga,Angola,1252
2180,Cosmos de BafiaCameroon,Cosmos de Bafia,Cameroon,1252
2181,TammekaEstonia,Tammeka,Estonia,1251
2182,Ħamrun SpartansMalta,Ħamrun Spartans,Malta,1251
2183,Ibanda SportCongo DR,Ibanda SportCongo DR,#N/A,1251
2184,LimerickIreland,Limerick,Ireland,1251
2185,UWI FCJamaica,UWI FC,Jamaica,1251
2186,BreiðablikIceland,Breiðablik,Iceland,1251
2187,Rajasthan UnitedIndia,Rajasthan United,India,1251
2188,Central Coast F.C.Solomon Islands,Central Coast F.C.,Solomon Islands,1251
2189,ONGC FCIndia,ONGC FC,India,1251
2190,Mighty JetsGhana,Mighty Jets,Ghana,1251
2191,SKN Sankt PöltenAustria,SKN Sankt Pölten,Austria,1251
2192,NA Hussein DeyAlgeria,NA Hussein Dey,Algeria,1251
2193,Lincoln Red Imps FCGibraltar,Lincoln Red Imps FC,Gibraltar,1251
2194,Al BatinSaudi Arabia,Al Batin,Saudi Arabia,1251
2195,KabashaCongo DR,KabashaCongo DR,#N/A,1251
2196,Social SolHonduras,Social Sol,Honduras,1251
2197,Bikita Minerals FCZimbabwe,Bikita Minerals FC,Zimbabwe,1251
2198,FC Gareji SagarejoGeorgia,FC Gareji Sagarejo,Georgia,1251
2199,Budafoki MTEHungary,Budafoki MTE,Hungary,1250
2200,Rudar VelenjeSlovenia,Rudar Velenje,Slovenia,1250
2201,Legon Cities FCGhana,Legon Cities FC,Ghana,1250
2202,Yeni MalatyasporTurkey,Yeni Malatyaspor,Turkey,1250
2203,FK Jedinstvo UbSerbia,FK Jedinstvo Ub,Serbia,1250
2204,Kaloum StarGuinea,Kaloum Star,Guinea,1250
2205,LLB AcadémicBurundi,LLB Académic,Burundi,1250
2206,Olympic ClubCongo DR,Olympic ClubCongo DR,#N/A,1250
2207,FK ŠilasLithuania,FK Šilas,Lithuania,1250
2208,AS Nyuki de ButemboDenmark,AS Nyuki de Butembo,Denmark,1250
2209,HighwayZimbabwe,Highway,Zimbabwe,1250
2210,Al RaedSaudi Arabia,Al Raed,Saudi Arabia,1250
2211,Nord SportDenmark,Nord Sport,Denmark,1250
2212,US BougouniMali,US Bougouni,Mali,1250
2213,CentralTrinidad and Tobago,CentralTrinidad and,Tobago,1250
2214,Sheasham FCZimbabwe,Sheasham FC,Zimbabwe,1250
2215,Yadah FCZimbabwe,Yadah FC,Zimbabwe,1250
2216,Persiram Raja AmpatIndonesia,Persiram Raja Ampat,Indonesia,1250
2217,Al-Orobah FCSaudi Arabia,Al-Orobah FC,Saudi Arabia,1250
2218,Aïn FakrounAlgeria,Aïn Fakroun,Algeria,1250
2219,GlenavonNorthern Ireland,Glenavon,Northern Ireland,1250
2220,Etoile du KivuCongo DR,Etoile du KivuCongo DR,#N/A,1250
2221,Doxa KatokopiaCyprus,Doxa Katokopia,Cyprus,1250
2222,Nembe City FCNigeria,Nembe City FC,Nigeria,1250
2223,PlatenseHonduras,Platense,Honduras,1250
2224,Independiente FCEl Salvador,Independiente FC,El Salvador,1250
2225,SabéIvory Coast,Sabé,Ivory Coast,1250
2226,Diables NoirsCongo,Diables Noirs,Congo,1250
2227,Entente Sportive du BafingIvory Coast,Entente Sportive du Bafing,Ivory Coast,1250
2228,MornarMontenegro,Mornar,Montenegro,1249
2229,Persita TangerangIndonesia,Persita Tangerang,Indonesia,1249
2230,Township RollersBotswana,Township Rollers,Botswana,1249
2231,AL Adalh FCSaudi Arabia,AL Adalh FC,Saudi Arabia,1249
2232,Racing United FCJamaica,Racing United FC,Jamaica,1249
2233,SunkarKazakhstan,Sunkar,Kazakhstan,1249
2234,KF TiranaAlbania,KF Tirana,Albania,1249
2235,Gaz Metan MediaşRomania,Gaz Metan Mediaş,Romania,1249
2236,Ararat-Armenia FCArmenia,Ararat-Armenia FC,Armenia,1249
2237,Progresso Associação do SambizangaAngola,Progresso Associação do Sambizanga,Angola,1249
2238,Deportivo SavioHonduras,Deportivo Savio,Honduras,1249
2239,UMECIT FCPanama,UMECIT FC,Panama,1249
2240,AS KasserineTunisia,AS Kasserine,Tunisia,1249
2241,Young Green EaglesZambia,Young Green Eagles,Zambia,1249
2242,İstanbulsporTurkey,İstanbulspor,Turkey,1249
2243,AzamTanzania,Azam,Tanzania,1249
2244,FC AlashkertArmenia,FC Alashkert,Armenia,1249
2245,AC Kuya SportCongo DR,AC Kuya SportCongo DR,#N/A,1249
2246,EupenBelgium,Eupen,Belgium,1249
2247,Miedź LegnicaPoland,Miedź Legnica,Poland,1248
2248,Olympic Sport AboboIvory Coast,Olympic Sport Abobo,Ivory Coast,1248
2249,SlivenBulgaria,Sliven,Bulgaria,1248
2250,Metalleghe BSIBosnia and Herzegovina,Metalleghe BSIBosnia and,Herzegovina,1248
2251,El DoradoDenmark,El Dorado,Denmark,1248
2252,Lobos UPNFMHonduras,Lobos UPNFM,Honduras,1248
2253,FK Kom PodgoricaMontenegro,FK Kom Podgorica,Montenegro,1248
2254,ZestafoniGeorgia,Zestafoni,Georgia,1248
2255,US Panda B5Congo DR,US Panda B5Congo DR,#N/A,1248
2256,Al Bataeh ClubUnited Arab Emirates,Al Bataeh Club,United Arab Emirates,1248
2257,FC Lubumbashi sportCongo DR,FC Lubumbashi sportCongo DR,#N/A,1248
2258,Uniao Sport Clube do UigeAngola,Uniao Sport Clube do Uige,Angola,1248
2259,Wad Hashim SC SennarSudan,Wad Hashim SC Sennar,Sudan,1248
2260,GabèsTunisia,Gabès,Tunisia,1248
2261,Kuwait SCKuwait,Kuwait SC,Kuwait,1248
2262,Tamme AutoEstonia,Tamme Auto,Estonia,1248
2263,Mouna FCIvory Coast,Mouna FC,Ivory Coast,1248
2264,MolungeCongo DR,MolungeCongo DR,#N/A,1247
2265,Shabab Al-Ordon ClubJordan,Shabab Al-Ordon Club,Jordan,1247
2266,Juventud EscuintlecaGuatemala,Juventud Escuintleca,Guatemala,1247
2267,Young ApostlesGhana,Young Apostles,Ghana,1247
2268,Pelita Bandung RayaIndonesia,Pelita Bandung Raya,Indonesia,1247
2269,Mitra KukarIndonesia,Mitra Kukar,Indonesia,1247
2270,CS Fola EschLuxembourg,CS Fola Esch,Luxembourg,1247
2271,WarriorEstonia,Warrior,Estonia,1247
2272,Surkhon-2011Uzbekistan,Surkhon-2011,Uzbekistan,1247
2273,Marek DupnitsaBulgaria,Marek Dupnitsa,Bulgaria,1247
2274,ASI D'AbengourouIvory Coast,ASI D'Abengourou,Ivory Coast,1247
2275,Verdes FCBelize,Verdes FC,Belize,1247
2276,La U UniversitariosCosta Rica,La U Universitarios,Costa Rica,1247
2277,JCT FCIndia,JCT FC,India,1247
2278,Mutondo StarsZambia,Mutondo Stars,Zambia,1247
2279,PlataniasGreece,Platanias,Greece,1247
2280,Krumkachy MinskBelarus,Krumkachy Minsk,Belarus,1247
2281,StjarnanIceland,Stjarnan,Iceland,1247
2282,Deportivo ZuliaVenezuela,Deportivo Zulia,Venezuela,1246
2283,Wad Nubawi Khartoum FCSudan,Wad Nubawi Khartoum FC,Sudan,1246
2284,Ranchers BeesNigeria,Ranchers Bees,Nigeria,1246
2285,Gombe UnitedNigeria,Gombe United,Nigeria,1246
2286,FK JervNorway,FK Jerv,Norway,1246
2287,PSS SlemanIndonesia,PSS Sleman,Indonesia,1246
2288,Gran Valencia FCVenezuela,Gran Valencia FC,Venezuela,1246
2289,APEPCyprus,APEP,Cyprus,1246
2290,ZhenisKazakhstan,Zhenis,Kazakhstan,1246
2291,CSyD CarcháGuatemala,CSyD Carchá,Guatemala,1246
2292,Papua New Guinea U20Papua New Guinea,Papua New Guinea U20,Papua New Guinea,1246
2293,Germinal BeerschotBelgium,Germinal Beerschot,Belgium,1246
2294,Togo-PortUganda,Togo-Port,Uganda,1246
2295,AS DenguéléIvory Coast,AS Denguélé,Ivory Coast,1246
2296,AS NiananMali,AS Nianan,Mali,1246
2297,Akademik SofiaBulgaria,Akademik Sofia,Bulgaria,1246
2298,Asyut PetrolEgypt,Asyut Petrol,Egypt,1246
2299,FC PaschingAustria,FC Pasching,Austria,1246
2300,Briton Ferry LlansawelWales,Briton Ferry Llansawel,Wales,1245
2301,Al Qadsia KuwaitKuwait,Al Qadsia Kuwait,Kuwait,1245
2302,Petro SouthsPapua New Guinea,Petro Souths,Papua New Guinea,1245
2303,Club Olympique de MédenineTunisia,Club Olympique de Médenine,Tunisia,1245
2304,Flame LillyZimbabwe,Flame Lilly,Zimbabwe,1245
2305,FK BokeljMontenegro,FK Bokelj,Montenegro,1245
2306,Eleven WiseGhana,Eleven Wise,Ghana,1245
2307,DSK ShivajiansIndia,DSK Shivajians,India,1245
2308,Differdange 03Luxembourg,Differdange 03,Luxembourg,1245
2309,Hvidovre IFDenmark,Hvidovre IF,Denmark,1245
2310,Olympique de MissiraMali,Olympique de Missira,Mali,1245
2311,Atlético do NamibeAngola,Atlético do Namibe,Angola,1245
2312,Tiga SportNew Caledonia,Tiga Sport,New Caledonia,1245
2313,UnderhillZimbabwe,Underhill,Zimbabwe,1245
2314,AD Grecia FCCosta Rica,AD Grecia FC,Costa Rica,1245
2315,Pontypridd TownWales,Pontypridd Town,Wales,1245
2316,Abha ClubSaudi Arabia,Abha Club,Saudi Arabia,1244
2317,DiarafSenegal,Diaraf,Senegal,1244
2318,Youssoufia BerrechidMorocco,Youssoufia Berrechid,Morocco,1244
2319,FC MKCongo DR,FC MKCongo DR,#N/A,1244
2320,Al-Hilal AlsahilSudan,Al-Hilal Alsahil,Sudan,1244
2321,Al-Ahli AtbaraSudan,Al-Ahli Atbara,Sudan,1244
2322,Angostura FCVenezuela,Angostura FC,Venezuela,1244
2323,MSP BatnaAlgeria,MSP Batna,Algeria,1244
2324,PSISIndonesia,PSIS,Indonesia,1244
2325,Persijap JeparaIndonesia,Persijap Jepara,Indonesia,1244
2326,Ubon UMT FCThailand,Ubon UMT FC,Thailand,1244
2327,Lae City DwellersPapua New Guinea,Lae City Dwellers,Papua New Guinea,1244
2328,Binh DuongVietnam,Binh Duong,Vietnam,1244
2329,Tiare TahitiSyria,Tiare Tahiti,Syria,1244
2330,Kokand 1912Uzbekistan,Kokand 1912,Uzbekistan,1244
2331,Ahal FKTurkmenistan,Ahal FK,Turkmenistan,1244
2332,Tokushima VortisJapan,Tokushima Vortis,Japan,1244
2333,AdzopéIvory Coast,Adzopé,Ivory Coast,1244
2334,H&H Export Sébaco FCNicaragua,H&H Export Sébaco FC,Nicaragua,1244
2335,Mjøndalen IFNorway,Mjøndalen IF,Norway,1244
2336,Real Hope FAHaiti,Real Hope FA,Haiti,1244
2337,FK Turan TurkistanKazakhstan,FK Turan Turkistan,Kazakhstan,1244
2338,FK AksuKazakhstan,FK Aksu,Kazakhstan,1244
2339,Saint-ClémentCongo DR,Saint-ClémentCongo DR,#N/A,1243
2340,Al-Zoma KhartoumSudan,Al-Zoma Khartoum,Sudan,1243
2341,TempêteHaiti,Tempête,Haiti,1243
2342,KukesiAlbania,Kukesi,Albania,1243
2343,FK MolodechnoBelarus,FK Molodechno,Belarus,1243
2344,MaristSolomon Islands,Marist,Solomon Islands,1243
2345,Club SandoTrinidad and Tobago,Club SandoTrinidad and,Tobago,1243
2346,Chennaiyin FCIndia,Chennaiyin FC,India,1243
2347,Szolnoki MÁVHungary,Szolnoki MÁV,Hungary,1243
2348,El Nasr TadeenEgypt,El Nasr Tadeen,Egypt,1243
2349,Erakor Golden StarVanuatu,Erakor Golden Star,Vanuatu,1243
2350,VostokKazakhstan,Vostok,Kazakhstan,1243
2351,FC UlytauKazakhstan,FC Ulytau,Kazakhstan,1243
2352,Shabab El Bourj SCLebanon,Shabab El Bourj SC,Lebanon,1243
2353,FC SimbaDenmark,FC Simba,Denmark,1243
2354,FK Kaspiy AktauKazakhstan,FK Kaspiy Aktau,Kazakhstan,1243
2355,Santos de AngolaAngola,Santos de Angola,Angola,1243
2356,Kober SC BahriSudan,Kober SC Bahri,Sudan,1242
2357,Nong Bua Pitchaya FCThailand,Nong Bua Pitchaya FC,Thailand,1242
2358,FK Mladost Doboj KakanjBosnia and Herzegovina,FK Mladost Doboj KakanjBosnia and,Herzegovina,1242
2359,Basake Holy Stars FCGhana,Basake Holy Stars FC,Ghana,1242
2360,MuunganoCongo DR,MuunganoCongo DR,#N/A,1242
2361,Alkali NassaraNiger,Alkali Nassara,Niger,1242
2362,Chegutu Pirates FCZimbabwe,Chegutu Pirates FC,Zimbabwe,1242
2363,FK Gorno LisiceMacedonia,FK Gorno Lisice,Macedonia,1242
2364,Concordia ChiajnaRomania,Concordia Chiajna,Romania,1242
2365,CD AudazEl Salvador,CD Audaz,El Salvador,1242
2366,Club Omnisports de Korhogo (CIV)Ivory Coast,Club Omnisports de Korhogo (CIV),Ivory Coast,1242
2367,Mont BleuDenmark,Mont Bleu,Denmark,1242
2368,FC KuressaareEstonia,FC Kuressaare,Estonia,1242
2369,CD ChalatenangoEl Salvador,CD Chalatenango,El Salvador,1242
2370,NaftaSlovenia,Nafta,Slovenia,1242
2371,A.D. Municipal Santa AnaCosta Rica,A.D. Municipal Santa Ana,Costa Rica,1242
2372,Lajong SCIndia,Lajong SC,India,1242
2373,Kalyani Bharat FCIndia,Kalyani Bharat FC,India,1242
2374,GD Baixa de KassanjeAngola,GD Baixa de Kassanje,Angola,1242
2375,InterblockSlovenia,Interblock,Slovenia,1242
2376,Haskovo 2009Bulgaria,Haskovo 2009,Bulgaria,1242
2377,NK ZagrebCroatia,NK Zagreb,Croatia,1241
2378,KazakhmysKazakhstan,Kazakhmys,Kazakhstan,1241
2379,Real Santa CruzBolivia,Real Santa Cruz,Bolivia,1241
2380,FH HafnarfjordurIceland,FH Hafnarfjordur,Iceland,1241
2381,FK Radnik SurdulicaSerbia,FK Radnik Surdulica,Serbia,1241
2382,Al-AbbassiehLebanon,Al-Abbassieh,Lebanon,1241
2383,Santa Tecla FCEl Salvador,Santa Tecla FC,El Salvador,1241
2384,FC BuzăuRomania,FC Buzău,Romania,1241
2385,Moossou FCIvory Coast,Moossou FC,Ivory Coast,1241
2386,Roan UnitedZambia,Roan United,Zambia,1241
2387,Wassaman UnitedGhana,Wassaman United,Ghana,1241
2388,JSK Chabab Kasba TadlaMorocco,JSK Chabab Kasba Tadla,Morocco,1241
2389,Sabana de MoptiMali,Sabana de Mopti,Mali,1241
2390,AC MamahiraMali,AC Mamahira,Mali,1241
2391,FC Renaissance du CongoDenmark,FC Renaissance du Congo,Denmark,1241
2392,EspoirNiger,Espoir,Niger,1241
2393,Partizan MinskBelarus,Partizan Minsk,Belarus,1241
2394,FC Spicul ChișcăreniMoldova,FC Spicul Chișcăreni,Moldova,1241
2395,Ndoki ya NdombeCongo DR,Ndoki ya NdombeCongo DR,#N/A,1241
2396,Sportist SvogeBulgaria,Sportist Svoge,Bulgaria,1241
2397,FK Otrant-OlympicMontenegro,FK Otrant-Olympic,Montenegro,1241
2398,ATS KoroMali,ATS Koro,Mali,1241
2399,Standard SumgayitAzerbaijan,Standard Sumgayit,Azerbaijan,1241
2400,EtarBulgaria,Etar,Bulgaria,1240
2401,PAEEK KyreniaCyprus,PAEEK Kyrenia,Cyprus,1240
2402,Dunfermline AthleticScotland,Dunfermline Athletic,Scotland,1240
2403,OuragahioIvory Coast,Ouragahio,Ivory Coast,1240
2404,Al-Shahania S.C.Qatar,Al-Shahania S.C.,Qatar,1240
2405,Gahar ZagrosIran,Gahar Zagros,Iran,1240
2406,Armed ForcesSingapore,Armed Forces,Singapore,1240
2407,Tiburones Rojos de VeracruzMexico,Tiburones Rojos de Veracruz,Mexico,1240
2408,NK KrskoSlovenia,NK Krsko,Slovenia,1240
2409,FK AtlantasLithuania,FK Atlantas,Lithuania,1240
2410,Deltras SidoarjoIndonesia,Deltras Sidoarjo,Indonesia,1240
2411,Naft Masjed Soleyman FCIran,Naft Masjed Soleyman FC,Iran,1240
2412,Wexford YouthsIreland,Wexford Youths,Ireland,1240
2413,Maverly Hughenden FCJamaica,Maverly Hughenden FC,Jamaica,1240
2414,Dunbeholden FCJamaica,Dunbeholden FC,Jamaica,1240
2415,Luanda City FCAngola,Luanda City FC,Angola,1239
2416,Atletico Lusaka FCZambia,Atletico Lusaka FC,Zambia,1239
2417,Racing de CasablancaMorocco,Racing de Casablanca,Morocco,1239
2418,El DakhleyaEgypt,El Dakhleya,Egypt,1239
2419,ASM OranAlgeria,ASM Oran,Algeria,1239
2420,Tafea FCVanuatu,Tafea FC,Vanuatu,1239
2421,FK TransINVESTLithuania,FK TransINVEST,Lithuania,1238
2422,RewaFiji,Rewa,Fiji,1238
2423,Hilal El-FasherSudan,Hilal El-Fasher,Sudan,1238
2424,FK Zlatibor ČajetinaSerbia,FK Zlatibor Čajetina,Serbia,1238
2425,Mansheyat Bani HasanJordan,Mansheyat Bani Hasan,Jordan,1238
2426,PSMSIndonesia,PSMS,Indonesia,1238
2427,Misr El MakasaEgypt,Misr El Makasa,Egypt,1238
2428,SocozakiDenmark,Socozaki,Denmark,1238
2429,Mash'al MuborakUzbekistan,Mash'al Muborak,Uzbekistan,1238
2430,CibaoDenmark,Cibao,Denmark,1238
2431,Aswan FCEgypt,Aswan FC,Egypt,1238
2432,Sportive de DjerbaTunisia,Sportive de Djerba,Tunisia,1238
2433,Al Ittihad KalbaUnited Arab Emirates,Al Ittihad Kalba,United Arab Emirates,1238
2434,AC RangersDenmark,AC Rangers,Denmark,1238
2435,Meshki Pooshan Football ClubIran,Meshki Pooshan Football Club,Iran,1238
2436,CibaliaCroatia,Cibalia,Croatia,1237
2437,Bofoakwa TanoGhana,Bofoakwa Tano,Ghana,1237
2438,AFC EskilstunaSweden,AFC Eskilstuna,Sweden,1237
2439,Al Ahly MeroweSudan,Al Ahly Merowe,Sudan,1237
2440,HardbodyZimbabwe,Hardbody,Zimbabwe,1237
2441,Lys SassandraIvory Coast,Lys Sassandra,Ivory Coast,1237
2442,Bukavu DawaCongo DR,Bukavu DawaCongo DR,#N/A,1237
2443,Rayo ZulianoVenezuela,Rayo Zuliano,Venezuela,1237
2444,LynNorway,Lyn,Norway,1237
2445,BellinzonaSwitzerland,Bellinzona,Switzerland,1237
2446,Sektzia Ness Ziona FCIsrael,Sektzia Ness Ziona FC,Israel,1237
2447,Deportivo ZacapaGuatemala,Deportivo Zacapa,Guatemala,1237
2448,Bray WanderersIreland,Bray Wanderers,Ireland,1237
2449,Beijing RenheChina PR,Beijing RenheChina PR,#N/A,1237
2450,Northeast United FCIndia,Northeast United FC,India,1237
2451,Perseru Badak LampungIndonesia,Perseru Badak Lampung,Indonesia,1237
2452,KF Besa DobërdollMacedonia,KF Besa Dobërdoll,Macedonia,1236
2453,CD Real de MinasHonduras,CD Real de Minas,Honduras,1236
2454,Sudeva Delhi FCIndia,Sudeva Delhi FC,India,1236
2455,Saurimo FCAngola,Saurimo FC,Angola,1236
2456,Chiangmai FCThailand,Chiangmai FC,Thailand,1236
2457,Bulawayo City FCZimbabwe,Bulawayo City FC,Zimbabwe,1236
2458,Roumde AdjiaCameroon,Roumde Adjia,Cameroon,1236
2459,Villa EspanolaUruguay,Villa Espanola,Uruguay,1236
2460,Ghazl El MehallaEgypt,Ghazl El Mehalla,Egypt,1236
2461,Prestatyn Town FCWales,Prestatyn Town FC,Wales,1236
2462,FC Hebar 1918Bulgaria,FC Hebar 1918,Bulgaria,1236
2463,Mohammedan SCIndia,Mohammedan SC,India,1236
2464,Malampa Revivors FCVanuatu,Malampa Revivors FC,Vanuatu,1236
2465,Jocoro FCEl Salvador,Jocoro FC,El Salvador,1236
2466,Kenkre FCIndia,Kenkre FC,India,1235
2467,AC HorsensDenmark,AC Horsens,Denmark,1235
2468,Nikao SokattakCook Islands,Nikao Sokattak,Cook Islands,1235
2469,Deportivo Las SabanasNicaragua,Deportivo Las Sabanas,Nicaragua,1235
2470,DongoZimbabwe,Dongo,Zimbabwe,1235
2471,KfarsoumJordan,Kfarsoum,Jordan,1235
2472,Inter de BarinasVenezuela,Inter de Barinas,Venezuela,1235
2473,Hamilton AcademicalScotland,Hamilton Academical,Scotland,1235
2474,KF GostivariMacedonia,KF Gostivari,Macedonia,1235
2475,Hapoel Petah Tikva FCIsrael,Hapoel Petah Tikva FC,Israel,1235
2476,Qingdao HainiuChina PR,Qingdao HainiuChina PR,#N/A,1235
2477,AS Avenir de TombouctouMali,AS Avenir de Tombouctou,Mali,1235
2478,CO BouafleIvory Coast,CO Bouafle,Ivory Coast,1235
2479,Al Shorta Al QadarifSudan,Al Shorta Al Qadarif,Sudan,1235
2480,Eastern Sports ClubHong Kong,Eastern Sports Club,Hong Kong,1235
2481,Ferroviário Do HuamboAngola,Ferroviário Do Huambo,Angola,1235
2482,MalekesaCongo DR,MalekesaCongo DR,#N/A,1234
2483,Speranţa CrihanaMoldova,Speranţa Crihana,Moldova,1234
2484,Saint-LucCongo DR,Saint-LucCongo DR,#N/A,1234
2485,Babeti ya SikaCongo DR,Babeti ya SikaCongo DR,#N/A,1234
2486,Indígenas de MatagalpaNicaragua,Indígenas de Matagalpa,Nicaragua,1234
2487,HIFKFinland,HIFK,Finland,1234
2488,C.D. Fuerte San FranciscoEl Salvador,C.D. Fuerte San Francisco,El Salvador,1234
2489,Jyvaskyla JKFinland,Jyvaskyla JK,Finland,1234
2490,Kafue CelticZambia,Kafue Celtic,Zambia,1234
2491,FC DiarraMali,FC Diarra,Mali,1234
2492,Yopougon FCIvory Coast,Yopougon FC,Ivory Coast,1234
2493,FC HelsingørDenmark,FC Helsingør,Denmark,1234
2494,Vipers SCUganda,Vipers SC,Uganda,1233
2495,ND TriglavSlovenia,ND Triglav,Slovenia,1233
2496,Khorfakkan ClubUnited Arab Emirates,Khorfakkan Club,United Arab Emirates,1233
2497,HiréIvory Coast,Hiré,Ivory Coast,1233
2498,Jwaneng Galaxy FCBotswana,Jwaneng Galaxy FC,Botswana,1233
2499,Valencia de LeoganeHaiti,Valencia de Leogane,Haiti,1233
2500,FC EdmontonCanada,FC Edmonton,Canada,1233
2501,Olimpik SarajevoBosnia and Herzegovina,Olimpik SarajevoBosnia and,Herzegovina,1233
2502,Solomon Warriors FCSolomon Islands,Solomon Warriors FC,Solomon Islands,1233
2503,Toronto FCCanada,Toronto FC,Canada,1233
2504,Hapoel Ramat GanIsrael,Hapoel Ramat Gan,Israel,1233
2505,North Eastern Re Organising Cultural AssociationIndia,North Eastern Re Organising Cultural Association,India,1233
2506,Gloria BistritaRomania,Gloria Bistrita,Romania,1233
2507,Al Ahli Wad MedaniSudan,Al Ahli Wad Medani,Sudan,1233
2508,Kapfenberger SVAustria,Kapfenberger SV,Austria,1233
2509,TTM ChiangmaiThailand,TTM Chiangmai,Thailand,1233
2510,Merikh KostiSudan,Merikh Kosti,Sudan,1233
2511,Montedio YamagataJapan,Montedio Yamagata,Japan,1232
2512,Lusaka DynamosZambia,Lusaka Dynamos,Zambia,1232
2513,Hapoel Ra'ananaIsrael,Hapoel Ra'anana,Israel,1232
2514,Moca FCDenmark,Moca FC,Denmark,1232
2515,Academia CantolaoPeru,Academia Cantolao,Peru,1232
2516,CavalyHaiti,Cavaly,Haiti,1232
2517,WaiBOP UnitedNew Zealand,WaiBOP United,New Zealand,1232
2518,Guangzhou City F.C.China PR,Guangzhou City F.C.China PR,#N/A,1232
2519,Hapoel Ironi AkkoIsrael,Hapoel Ironi Akko,Israel,1232
2520,LovćenMontenegro,Lovćen,Montenegro,1232
2521,PuaikuraCook Islands,Puaikura,Cook Islands,1232
2522,Union Sportive du Cercle de KitaMali,Union Sportive du Cercle de Kita,Mali,1232
2523,NdjadiCongo DR,NdjadiCongo DR,#N/A,1232
2524,FC Pune CityIndia,FC Pune City,India,1232
2525,Matiti MabeCongo DR,Matiti MabeCongo DR,#N/A,1231
2526,CS MakisoCongo DR,CS MakisoCongo DR,#N/A,1231
2527,NkoyCongo DR,NkoyCongo DR,#N/A,1231
2528,Maccabi Ahi NazarethIsrael,Maccabi Ahi Nazareth,Israel,1231
2529,Trelleborgs FFSweden,Trelleborgs FF,Sweden,1231
2530,ZumuntaNiger,Zumunta,Niger,1231
2531,Étoiles du MandéMali,Étoiles du Mandé,Mali,1231
2532,PK-35 VantaaFinland,PK-35 Vantaa,Finland,1231
2533,Forge FCCanada,Forge FC,Canada,1231
2534,Dauphins NoirsCongo DR,Dauphins NoirsCongo DR,#N/A,1230
2535,FK SenicaSlovakia,FK Senica,Slovakia,1230
2536,Chirag KeralaIndia,Chirag Kerala,India,1230
2537,Kalteng PutraIndonesia,Kalteng Putra,Indonesia,1230
2538,Bantu RoversZimbabwe,Bantu Rovers,Zimbabwe,1230
2539,StartNorway,Start,Norway,1230
2540,Liaoning HongyunChina PR,Liaoning HongyunChina PR,#N/A,1230
2541,Al-Shamal SCQatar,Al-Shamal SC,Qatar,1230
2542,Tasman UnitedNew Zealand,Tasman United,New Zealand,1230
2543,Jeunesse Sportive de KinshasaCongo DR,Jeunesse Sportive de KinshasaCongo DR,#N/A,1230
2544,Al AmirSudan,Al Amir,Sudan,1230
2545,FK Borec VelesMacedonia,FK Borec Veles,Macedonia,1230
2546,Nacional de BenguelaAngola,Nacional de Benguela,Angola,1230
2547,SyrianskaSweden,Syrianska,Sweden,1229
2548,KhonkaenThailand,Khonkaen,Thailand,1229
2549,Humble LionsJamaica,Humble Lions,Jamaica,1229
2550,Thai HondaThailand,Thai Honda,Thailand,1229
2551,Harbour ViewJamaica,Harbour View,Jamaica,1229
2552,Tripple BZimbabwe,Tripple B,Zimbabwe,1229
2553,Deportiva CarmelitaCosta Rica,Deportiva Carmelita,Costa Rica,1229
2554,União de MalanjeAngola,União de Malanje,Angola,1229
2555,Colón C-3Panama,Colón C-3,Panama,1229
2556,Morobe WawensPapua New Guinea,Morobe Wawens,Papua New Guinea,1229
2557,FC GagraGeorgia,FC Gagra,Georgia,1228
2558,Centro ÍtaloVenezuela,Centro Ítalo,Venezuela,1228
2559,Khon Kaen United FCThailand,Khon Kaen United FC,Thailand,1228
2560,Harju JalgpallikoolEstonia,Harju Jalgpallikool,Estonia,1228
2561,Manu UraTahiti,Manu Ura,Tahiti,1228
2562,XorazmUzbekistan,Xorazm,Uzbekistan,1228
2563,Al Ahly SC NabatiehLebanon,Al Ahly SC Nabatieh,Lebanon,1228
2564,Pasaquina F.C.El Salvador,Pasaquina F.C.,El Salvador,1228
2565,Club Atletico PantojaDenmark,Club Atletico Pantoja,Denmark,1228
2566,Kwekwe United FCZimbabwe,Kwekwe United FC,Zimbabwe,1228
2567,St. JohnstoneScotland,St. Johnstone,Scotland,1228
2568,Hrvatski DragovoljacCroatia,Hrvatski Dragovoljac,Croatia,1228
2569,Slavija SarajevoBosnia and Herzegovina,Slavija SarajevoBosnia and,Herzegovina,1228
2570,GD Escolinha Isaac de BenguelaAngola,GD Escolinha Isaac de Benguela,Angola,1228
2571,Qizilqum ZarafshonUzbekistan,Qizilqum Zarafshon,Uzbekistan,1228
2572,Tuti SC KhartoumSudan,Tuti SC Khartoum,Sudan,1228
